Bcode,YEAR,VAR,LOCATION,CLASS,CAVOL,FPROT,FSDS,FSR_S,FSR_W,FSR_C,BKFYELD
190370011,19,SWW10124-B-0-1-2,LIND,Common,1265,10.4,12.5,NA,59,NA,47.9
190370012,19,MAS11295-1-1-0-1,LIND,Common,1270,10.2,11.3,NA,59.7,NA,45.6
190370013,19,WA8305,LIND,Common,1275,10.3,10.8,NA,55.5,NA,46.5
190370014,19,WA8316,LIND,Common,1245,11.1,10.5,NA,60.6,NA,46.7
190370015,19,MAS100095-2-1-S 6-1-1,LIND,Common,1280,10.1,14.2,NA,53.1,NA,47.7
190370016,19,SWW11262-B-0-0-2,LIND,Common,1275,9.5,10.8,NA,56.6,NA,48.9
190370017,19,SWW11272-B-0-0-3,LIND,Common,1315,9.7,11,NA,56.6,NA,49.4
190370018,19,SWW13066-DH-4,LIND,Common,1265,9.8,13.7,NA,59.9,NA,48.8
190370019,19,SWW13104-DH-9,LIND,Common,1240,11.1,17.1,NA,51.3,NA,48.9
190370020,19,SWW12408-B-S-7-1-1,LIND,Common,1245,10,17.1,NA,60.3,NA,47.9
190370021,19,SWW12408-B-S-7-1-2,LIND,Common,1255,10.1,13.9,NA,59.9,NA,46.8
190370022,19,SWW12408-B-S-7-1-3,LIND,Common,1195,9.8,15.4,NA,61.8,NA,46.4
190370023,19,SWW12408-B-S-7-1-10,LIND,Common,1210,11,13.4,NA,58.7,NA,48.1
190370024,19,WXXERPHA2-1-2-0-1,LIND,Common,850,10.4,13.9,NA,72.3,NA,36.6
190370025,19,STEPHENS,LIND,Common,1220,10.7,11.9,NA,54.4,NA,46.6
190380001,19,CURIOSITY,DAVENPORT,Common,1175,8.6,16,NA,54.1,NA,41.7
190380002,19,XERPHA,DAVENPORT,Common,1150,8.5,10.5,NA,55,NA,44.2
190380003,19,BRUEHL,DAVENPORT,Club,1220,8.6,9.6,NA,49.9,NA,47.3
190380004,19,OTTO,DAVENPORT,Common,1230,9.2,15.4,NA,53.8,NA,47.2
190380005,19,PUMA,DAVENPORT,Common,1235,8.9,13.1,NA,52.1,NA,48.2
