"eval_class","replicate","training_source","preproc","n_train","best_ncomp_caret","cor_caret","rmse_caret","bias_caret","slope_caret","best_lambda_lasso","n_nonzero_lasso","cor_lasso","rmse_lasso","bias_lasso","slope_lasso","cor_local","rmse_local","bias_local","slope_local"
"CLUB",4,"Matching","msc",717,18,0.717234707869355,50.8384663123762,3.56117772703297,0.911311007841885,0.00426827213116382,131,0.729861161820545,49.7730194999438,4.82878864151087,0.965654408102954,0.711591153663864,51.0444110970769,3.51625488391718,0.960189222705224
"CLUB",4,"Opposing","raw",1551,21,0.424840407098832,75.1853946205041,27.109006300809,0.552584226546056,0.00365616014408519,45,0.222493089167524,75.3973714187733,7.99983391761293,0.389745696775786,0.433473697974619,68.0493779234632,10.1990680081532,0.657193399560999
"CLUB",4,"Opposing","snv",1551,25,0.423201391307732,74.2870427688701,25.1887365963839,0.560096864096481,0.00196841944728661,136,0.42173786118473,74.9756684527738,28.22505109254,0.574063172667388,0.385555263903785,69.3989188803867,6.96476880476923,0.615853677396976
"CLUB",4,"Opposing","d1",1551,30,0.388003937202147,76.0851934737111,25.7279636842385,0.520021818363642,0.00168612883828688,135,0.358439971498979,77.315610818999,28.4919052665435,0.515378363421209,0.247909733762087,78.524632550757,23.6241128121277,0.406611527545948
"CLUB",4,"Opposing","d2",1551,30,0.419016848642088,73.5279089726391,24.7091357542281,0.582600889790701,0.00679098502995571,123,0.422074850672746,73.6197940502779,27.1730755211379,0.613184280128039,0.501492258776658,66.6014807137325,15.8687290259503,0.69299525699702
"CLUB",4,"Opposing","snvd1",1551,30,0.427240265440577,74.307495454569,24.9204523919745,0.55530673008033,0.00196841944728661,68,0.375953106083905,76.0185544359078,28.7777903315779,0.562625827632716,0.448223747098145,67.4587093723822,15.0434748829972,0.737136843508503
"CLUB",4,"Opposing","snvd2",1551,30,0.393103741375497,77.0986233052665,27.0987553616621,0.505369694048117,0.00679098502995571,129,0.403664031576937,76.0940117965169,27.9233834595208,0.539784654241916,0.371639471265473,72.8489501795951,16.8317765590864,0.545199528081606
"CLUB",4,"Opposing","msc",1551,27,0.413732433757976,76.3835572831138,27.4420460670024,0.52495132488606,0.00196841944728661,139,0.413812728504475,75.9046512427928,28.2646668136657,0.546838291836076,0.385243262828239,69.2211368332752,8.22844005037036,0.63452522540404
"CLUB",4,"Both","raw",2268,24,0.652190614026366,55.3576840063138,6.3868283996516,0.936454059775336,0.000907785399193755,55,0.43921818503798,65.1299118538607,-1.02187009576691,0.91579972113587,0.761783464429493,47.2187820154141,2.1981062546442,0.918471053133458
"CLUB",4,"Both","snv",2268,30,0.677104461513446,53.8932841304943,6.69417346916202,0.916547952050842,0.00196841944728661,147,0.65026487143059,55.4063089575905,5.87753457614596,0.940894181275543,0.747377974018528,48.4027166123877,4.98659349589065,1.03389971765
"CLUB",4,"Both","d1",2268,30,0.604308989612485,58.1883770079016,4.52338626172389,0.878655926002363,0.00196841944728661,81,0.596122006320652,58.3644791102223,5.09630246198893,0.999371421772505,0.680314929195223,54.1076002983271,4.41444741032919,0.837587403467414
"CLUB",4,"Both","d2",2268,29,0.637371738161299,56.2706784731152,4.3643794938391,0.888247722109482,0.00196841944728661,138,0.639198755606686,56.0832169934579,4.90998148350644,0.912241627287314,0.692106961282629,53.3552550584641,6.58507328002918,0.855731357277102
"CLUB",4,"Both","snvd1",2268,30,0.624374036175014,57.0635761053159,4.62568375616182,0.883952444674089,0.00196841944728661,136,0.622517960607105,56.9170663685104,4.48051947565084,0.94194192814062,0.668290096672188,54.9231795072555,3.77464084672689,0.828482243293565
"CLUB",4,"Both","snvd2",2268,30,0.632580969565499,56.8722465599906,4.84142865523715,0.84986453588572,0.00196841944728661,138,0.638763184073904,56.3788239995326,5.8921475167428,0.880321645941009,0.652711241679925,55.7686532961406,3.95265665141813,0.837045291603187
"CLUB",4,"Both","msc",2268,30,0.666482516119096,54.7717998999188,7.65910319081778,0.903280641700858,0.00196841944728661,142,0.643035103586105,55.9388039778468,6.15879781850119,0.921757712559911,0.707250876880065,51.7763021362419,0.355478096833704,0.868852539279137
"CLUB",5,"Matching","raw",717,18,0.785130166424845,53.9579758238445,7.83625322438603,1.09000751914567,0.00123719163453216,138,0.652081928049138,67.1958717146988,10.9466919169144,1.30519339859119,0.794717884692536,53.14951926727,10.2845060796882,1.05181510817659
"CLUB",5,"Matching","snv",717,18,0.771044351458692,54.9769913566866,6.45731473059223,1.01083300635409,0.00581709132937436,113,0.772160878508664,55.0138779977633,7.0180231325626,1.04928312067,0.774162036078005,55.4549788508998,9.58689683217754,1.10310505305616
"CLUB",5,"Matching","d1",717,25,0.733778515765021,58.6377924640722,6.5563242215899,1.02816417836681,0.00268269579527972,102,0.727587995890848,59.3295635515694,6.03679874761769,1.08643536534488,0.732706934200833,58.3705176221834,1.42752793732559,0.983623762926934
"CLUB",5,"Matching","d2",717,13,0.724744230559478,59.5473038976458,6.16255672737857,1.0746375078003,0.0234286842373223,81,0.764275810300084,56.2748584141809,8.88647222760194,1.09326128485891,0.741909650792421,58.2590495020191,8.68222714658393,1.06365758791197
"CLUB",5,"Matching","snvd1",717,22,0.747097319532991,57.3212095845781,4.74185298533753,1.0660852386584,0.00365616014408519,114,0.757245015404508,56.5450743927884,6.06945827077604,1.08386747651635,0.737088169016245,58.4983581109355,7.52970896249096,1.04897630392124
"CLUB",5,"Matching","snvd2",717,13,0.726760152817106,59.3954077206508,7.16060420284571,1.04988622639498,0.0692366640267872,62,0.759046824249371,56.7141331015791,8.38572536452442,1.09353226198183,0.704221665794534,61.3926896278357,7.62024621638514,0.96047678814755
"CLUB",5,"Matching","msc",717,17,0.768917456900863,55.257751848366,6.65334167060219,1.03440902606468,0.00679098502995571,113,0.761634863660435,56.1499374824205,7.51181468194696,1.05121675290118,0.77002632705647,55.9572589615012,8.76534716587826,1.13614989949313
"CLUB",5,"Opposing","raw",1551,20,0.505468873540506,83.3230591933438,36.6722735868429,0.794294115244447,0.00679098502995571,45,0.290936937960371,86.9884277460787,24.8986279086489,0.62742332943508,0.476588391951494,80.0372087152474,26.4644765480178,0.890577509317796
"CLUB",5,"Opposing","snv",1551,25,0.521827426041497,80.1669165594949,32.3295837677679,0.886022942772784,0.00196841944728661,136,0.520083305449232,82.4368686303619,37.4324934520249,0.886056614055463,0.331314521771568,87.3608455836838,28.8949932048856,0.640580060761058
"CLUB",5,"Opposing","d1",1551,30,0.497018144626755,83.2066805381559,35.9820927210323,0.814279761696246,0.00168612883828688,135,0.446517396183248,87.2787361191386,39.5705607552529,0.747422548124378,0.328947834719089,88.2273966129515,29.7567233758543,0.60321189480066
"CLUB",5,"Opposing","d2",1551,30,0.539562302764031,80.855357067297,36.3674987647191,0.954199792239312,0.00268269579527972,136,0.528023275286339,81.9054054102444,37.4454034101062,0.949769262924589,0.470786976604271,81.6622313330407,29.7665103519139,0.836873001693527
"CLUB",5,"Opposing","snvd1",1551,30,0.520310179572533,81.0822605070344,33.6552639822604,0.831576241201068,0.00196841944728661,68,0.435812932538687,87.5237773836013,39.6966448086124,0.765660932925747,0.503899335085178,78.0311897909801,24.5780132389703,0.975105295503731
"CLUB",5,"Opposing","snvd2",1551,28,0.513560672236503,83.5452014720421,38.6629218519996,0.836870014117073,0.00365616014408519,138,0.50667459318577,83.2047350660299,37.2388344429014,0.835315964065047,0.540495092113903,76.1919325587358,24.1029110184963,0.908842206834342
"CLUB",5,"Opposing","msc",1551,24,0.51967787785049,80.8652163731151,33.5076868649575,0.861211911856341,0.00196841944728661,139,0.50559648690948,83.0679247052854,36.8502975004801,0.836901716781556,0.371460672716002,85.345312365173,27.8625730133157,0.708389220921501
"CLUB",5,"Both","raw",2268,24,0.699398895060233,63.203262651972,13.76454903032,1.13462508871662,0.00105976624867607,94,0.503827134628518,75.9006859020296,14.4686068610699,1.23481752579325,0.764860313598477,55.5327890775301,5.67480282366088,1.01971658838525
"CLUB",5,"Both","snv",2268,29,0.715908907231931,61.5106362380233,11.9434734694258,1.14177052818949,0.00196841944728661,115,0.711495971502836,62.6655677331139,13.5312970607184,1.21302380829904,0.727728291359497,59.4965839645933,8.27801076265474,1.06353737214968
"CLUB",5,"Both","d1",2268,30,0.680066652938765,64.6395078290194,13.234914495067,1.14194780964434,0.00196841944728661,113,0.625334774691798,68.60706577303,13.6875441907569,1.14097921336119,0.718582743226502,60.3414305612919,9.16715114005257,0.975431399489202
"CLUB",5,"Both","d2",2268,29,0.721356871298964,62.7039032982694,15.6935789666331,1.2573383589948,0.00196841944728661,138,0.724315541649852,62.5910678256597,15.4497589472799,1.28056917730491,0.769258460808444,55.9271365460997,10.5241343070323,1.06584431935233
"CLUB",5,"Both","snvd1",2268,30,0.697012542393037,63.5352483257927,13.4462240711715,1.17193958248996,0.00196841944728661,131,0.668348772969263,65.8146000113382,13.9555653255715,1.171117440372,0.715711170051755,60.9802679143034,10.562368210147,1.08300201961321
"CLUB",5,"Both","snvd2",2268,30,0.709538344366973,63.0844234641405,15.993523753057,1.16506539343727,0.00196841944728661,140,0.716148476145141,62.4647799491982,15.2382412927837,1.18195441274298,0.763761208166502,56.546661981427,11.0082304815428,1.06041294063853
"CLUB",5,"Both","msc",2268,29,0.703977545477644,62.6060603596913,13.0234283204527,1.12119572730019,0.00196841944728661,140,0.70674279929286,63.3839317058145,14.9198760743094,1.21646261568217,0.740539903151001,58.3090385388229,8.5725523828224,1.04440252551937
"CLUB",6,"Matching","raw",717,18,0.703196645132965,56.9735593461673,10.303398596168,0.924456072738499,0.00144432146472728,51,0.538537285282194,66.4384736554536,5.73585488982417,0.997535896288883,0.7297248081614,54.2229780258981,7.17541035117496,0.967256781477649
"CLUB",6,"Matching","snv",717,18,0.687737545670685,58.1466185247373,10.809820479276,0.939654353051038,0.00581709132937436,117,0.697779416681991,57.0077621198771,9.11660363377022,0.98739985354127,0.708841095703429,55.9289562531968,7.59479358232938,0.994358897875677
"CLUB",6,"Matching","d1",717,19,0.651650161040888,60.3572235710809,7.16739151147394,0.888561857269512,0.00313183100524384,124,0.669516349786421,59.2176284628931,8.93054737468718,0.917738882668759,0.640156842058668,61.5142865841454,5.69185734537661,0.827699227932022
"CLUB",6,"Matching","d2",717,28,0.704484079279073,57.1579877666883,12.0838150208419,0.939387809840179,0.0234286842373223,87,0.720298027658809,55.9726273858839,12.7939080618406,1.0026317766073,0.719923414290306,54.8256455619863,5.76467351273006,0.995625388871398
"CLUB",6,"Matching","snvd1",717,29,0.692029349759339,57.8677209563372,10.4717389703881,0.918257847092443,0.00581709132937436,93,0.659736449884277,59.8435926220405,8.7618035311615,0.921452498866346,0.731782093112415,54.0186979273825,7.17268256283208,0.991426690908815
"CLUB",6,"Matching","snvd2",717,26,0.722004256731968,55.337073340245,10.1202116124065,0.959504194461928,0.0508021804691302,65,0.706534084629122,56.9325612008832,12.2674172422071,0.988595246905913,0.723236018845278,54.7498767199476,7.35294096618908,0.988649044681269
"CLUB",6,"Matching","msc",717,17,0.699301501331698,57.3631297090183,10.9183999227383,0.928016864826098,0.0079279273894506,121,0.699263495237216,56.8943927914893,9.03887049612299,0.976276735875055,0.714673359875321,55.6532386962318,8.15565180364124,1.06497817679554
"CLUB",6,"Opposing","raw",1551,20,0.458885414488853,76.7630342321722,28.1910942268059,0.705506530071298,0.00581709132937436,45,0.173297876327076,81.5735951000672,12.0321802498168,0.372932894642631,0.424136599649669,73.0840286409346,14.857430500484,0.811656707202383
"CLUB",6,"Opposing","snv",1551,20,0.461048541717109,73.9134326669082,22.418880597758,0.782403346437414,0.00196841944728661,136,0.450256746693949,76.6095703669727,28.9364916447159,0.769789186610848,0.32861192610983,76.6887735684279,16.8472776493077,0.728174601202453
"CLUB",6,"Opposing","d1",1551,30,0.406185579480425,77.8200898072855,26.7197257527645,0.698721505194606,0.00168612883828688,135,0.395293578319975,80.0676540969144,31.9749898084197,0.697231383699025,0.330295634796995,80.1521250675378,28.0541312605521,0.687035148949635
"CLUB",6,"Opposing","d2",1551,30,0.459465924131039,75.1509488989825,26.0870049126255,0.783891500699893,0.00679098502995571,123,0.463691988769274,75.3964397748762,27.9524076538844,0.82555960547208,0.445752940830662,74.4350129169673,22.8869213843572,0.804901077832314
"CLUB",6,"Opposing","snvd1",1551,30,0.441545550551423,75.3647626997047,24.2014334117348,0.755225877022192,0.00196841944728661,68,0.399500737701196,79.1609236516503,30.578450036484,0.722395576435425,0.493891119662879,71.7912488992664,21.6712115486297,0.899612832528213
"CLUB",6,"Opposing","snvd2",1551,28,0.479525679492576,75.4920910714694,28.9163959448189,0.781432107737633,0.00679098502995571,129,0.468453417156318,75.6926600656536,28.5008250329824,0.785967152218794,0.464125920224876,73.2441347322703,22.4239531072231,0.889999500940361
